"","player","height","weight","birth_year"
"263","Chris Crawford",206,106,1975
"264","Austin Croshere",206,106,1975
"265","William Cunningham",211,113,1974
"266","Antonio Daniels",193,88,1975
"267","Tim Duncan",211,113,1976
"268","Tony Farmer",206,110,1970
"269","Danny Fortson",201,117,1976
"270","Adonal Foyle",208,113,1975
"271","Lawrence Funderburke",206,104,1970
"272","Chris Garner",178,70,1975
"273","Kiwane Garris",188,83,1974
"274","Ed Gray",190,95,1975
"275","Derek Grimm",206,104,1974
"276","Jerald Honeycutt",206,111,1974
"277","Troy Hudson",185,77,1976
"278","Zydrunas Ilgauskas",221,107,1975
"279","Bobby Jackson",185,83,1973
"280","Dontae' Jones",203,99,1975
"281","Brevin Knight",178,78,1975
"282","Rusty LaRue",188,95,1973
"283","Jason Lawson",211,108,1974
"284","Tracy McGrady",203,95,1979
"285","Ron Mercer",201,95,1976
"286","Marko Milic",198,106,1977
"287","Jeff Nordgaard",201,102,1973
"288","Charles O'Bannon",196,94,1975
"289","Kevin Ollie",193,88,1972
"290","Anthony Parker",198,97,1975
"291","Scot Pollard",211,120,1975
"292","Mark Pope",208,106,1972
"293","Rodrick Rhodes",198,102,1973
"294","Shea Seals",196,95,1975
"295","God Shammgod",183,76,1976
"296","Kebu Stewart",203,108,1973
"297","Michael Stewart",208,104,1975
"298","Ed Stokes",213,119,1971
"299","Johnny Taylor",206,99,1974
"300","Maurice Taylor",206,117,1976
"301","Tim Thomas",208,104,1977
"302","Keith Van",208,104,1977
"303","Jacque Vaughn",185,86,1975
"304","Eric Washington",193,86,1974
"305","Bubba Wells",196,104,1974
"306","DeJuan Wheat",183,74,1973
"307","Brandon Williams",198,97,1975
"308","Peter Aluma",208,117,1973
"309","Toby Bailey",198,96,1975
"310","Corey Benjamin",198,90,1978
"311","Mike Bibby",185,86,1978
"312","Earl Boykins",165,61,1976
"313","Cory Carr",190,95,1975
"314","Vince Carter",198,99,1977
"315","Keon Clark",211,99,1975
"316","Kornel David",206,106,1971
"317","Ricky Davis",198,88,1979
"318","Michael Dickerson",196,86,1975
"319","Michael Doleac",211,118,1977
"320","Bryce Drew",188,83,1974
"321","Marlon Garnett",188,84,1975
"322","Pat Garrity",206,107,1976
"323","Paul Grant",213,111,1974
"324","Matt Harpring",201,104,1976
"325","Al Harrington",206,104,1980
"326","J.R. Henderson",206,104,1980
"327","Larry Hughes",196,83,1979
"328","Sam Jacobson",193,97,1975
"329","Jerome James",213,136,1975
"330","Antawn Jamison",203,101,1976
"331","Damon Jones",190,83,1976
"332","Jonathan Kerner",211,111,1974
"333","Raef LaFrentz",211,108,1976
"334","Felipe Lopez",196,90,1974
"335","Tyronn Lue",183,79,1977
"336","Sean Marks",208,113,1975
"337","Kelly McCarty",201,90,1975
"338","Jelani McCoy",208,111,1977
"339","Roshown McLeod",203,100,1975
"340","Brad Miller",211,110,1976
"341","Cuttino Mobley",193,86,1975
"342","Nazr Mohammed",208,100,1977
"343","Mikki Moore",211,102,1975
"344","Makhtar N'Diaye",203,111,1973
"345","Tyrone Nesby",198,102,1976
"346","Rasho Nesterovic",213,112,1976
"347","Dirk Nowitzki",213,111,1978
"348","Michael Olowokandi",213,122,1975
"349","Andrae Patterson",206,107,1975
"350","Ruben Patterson",196,101,1975
"351","Paul Pierce",201,106,1977
"352","Casey Shaw",211,117,1975
"353","Jeffrey Sheppard",190,86,1974
"354","Miles Simon",190,91,1975
"355","Alvin Sims",193,106,1974
"356","Brian Skinner",206,115,1976
"357","Ryan Stack",211,97,1975
"358","Vladimir Stepania",213,107,1976
"359","Peja Stojakovic",206,99,1977
"360","Bruno Sundov",218,99,1980
"361","Robert Traylor",203,128,1977
"362","Bonzi Wells",196,95,1976
"363","Tyson Wheeler",178,74,1975
"364","Jahidi White",206,131,1976
"365","Shammond Williams",185,91,1975
"366","Trevor Winter",213,124,1974
"367","Korleone Young",201,96,1978
"368","Rafer Alston",188,77,1976
"369","Chucky Atkins",180,72,1974
"370","William Avery",188,89,1979
"371","Jonathan Bender",211,91,1981
"372","Calvin Booth",211,104,1976
"373","Lazaro Borrell",203,99,1972
"374","Cal Bowdler",208,111,1977
"375","Ryan Bowen",201,97,1975
"376","Ira Bowman",196,88,1973
"377","A.J. Bramlett",196,88,1973
"378","Elton Brand",203,124,1979
"379","Greg Buckner",193,95,1976
"380","Rodney Buford",196,85,1977
