"","player","height","weight","birth_year"
"1473","D'Angelo Russell",188,86,1994
"1474","Alex Stepheson",208,122,1987
"1475","Walter Tavares",221,117,1992
"1476","Axel Toupane",201,89,1992
"1477","Karl-Anthony Towns",213,110,1995
"1478","Myles Turner",211,110,1996
"1479","Rashad Vaughn",198,91,1996
"1480","Briante Weber",188,74,1992
"1481","Justise Winslow",201,102,1996
"1482","Christian Wood",211,99,1995
"1483","Delon Wright",196,83,1992
"1484","Joe Young",188,81,1992
"1485","Alex Abrines",198,86,1993
"1486","Ron Baker",193,99,1993
"1487","Wade Baldwin",193,91,1996
"1488","Malik Beasley",196,88,1996
"1489","DeAndre' Bembry",198,95,1994
"1490","Dragan Bender",216,102,1997
"1491","Ben Bentil",206,106,1995
"1492","Davis Bertans",208,95,1992
"1493","Joel Bolomboy",206,106,1994
"1494","Malcolm Brogdon",196,97,1992
"1495","Jaylen Brown",193,97,1992
"1496","Nicolas Brussino",201,88,1993
"1497","Marquese Chriss",208,105,1997
"1498","Semaj Christon",190,86,1992
"1499","Quinn Cook",188,83,1993
"1500","Deyonta Davis",211,107,1996
"1501","Malcolm Delaney",190,86,1989
"1502","Cheick Diallo",206,99,1996
"1503","Kris Dunn",193,95,1994
"1504","Henry Ellenson",211,111,1997
"1505","Joel Embiid",213,113,1994
"1506","Kay Felder",175,79,1995
"1507","Yogi Ferrell",183,81,1993
"1508","Dorian Finney-Smith",203,99,1993
"1509","Bryn Forbes",190,86,1993
"1510","Patricio Garino",198,95,1993
"1511","Michael Gbinije",201,90,1992
"1512","Marcus Georges-Hunt",196,97,1994
"1513","Jonathan Gibson",188,83,1987
"1514","Treveon Graham",198,99,1993
"1515","A.J. Hammons",198,99,1993
"1516","Andrew Harrison",198,96,1994
"1517","Juan Hernangomez",206,104,1995
"1518","Willy Hernangomez",211,108,1994
"1519","Buddy Hield",193,97,1993
"1520","Danuel House",201,93,1993
"1521","Brandon Ingram",206,86,1997
"1522","Demetrius Jackson",185,91,1994
"1523","Pierre Jackson",178,81,1991
"1524","Brice Johnson",208,95,1979
"1525","Damian Jones",190,83,1976
"1526","Derrick Jones",203,100,1990
"1527","Mindaugas Kuzminskas",206,97,1989
"1528","Skal Labissiere",211,102,1996
"1529","Nicolas Laprovittola",193,81,1990
"1530","Jake Layman",206,95,1994
"1531","Caris LeVert",201,92,1994
"1532","Shawn Long",206,115,1993
"1533","Timothe Luwawu-Cabarrot",198,92,1995
"1534","Thon Maker",216,97,1997
"1535","Patrick McCaw",201,83,1995
"1536","Sheldon McClellan",196,90,1992
"1537","Rodney McGruder",193,92,1991
"1538","Dejounte Murray",196,77,1996
"1539","Jamal Murray",193,93,1997
"1540","Maurice Ndour",206,90,1992
"1541","Georges Niang",203,104,1993
"1542","David Nwaba",193,94,1993
"1543","Daniel Ochefu",211,111,1993
"1544","Chinanu Onuaku",208,111,1996
"1545","Georgios Papagiannis",216,108,1997
"1546","Marshall Plumlee",211,111,1990
"1547","Jakob Poeltl",213,112,1995
"1548","Alex Poythress",201,107,1993
"1549","Tim Quarterman",198,88,1994
"1550","Chasson Randle",188,83,1993
"1551","Malachi Richardson",198,92,1996
"1552","Domantas Sabonis",211,108,1996
"1553","Dario Saric",208,101,1994
"1554","Tomas Satoransky",201,95,1991
"1555","Wayne Selden",196,104,1994
"1556","Pascal Siakam",206,104,1994
"1557","Diamond Stone",211,115,1997
"1558","Edy Tavares",211,115,1997
"1559","Isaiah Taylor",190,77,1994
"1560","Mike Tobey",213,117,1994
"1561","Tyler Ulis",178,68,1996
"1562","Jarrod Uthoff",206,100,1993
"1563","Denzel Valentine",198,96,1993
"1564","Fred VanVleet",183,88,1994
"1565","Taurean Waller-Prince",183,88,1994
"1566","Okaro White",203,92,1992
"1567","Isaiah Whitehead",193,96,1995
"1568","Kyle Wiltjer",208,108,1992
"1569","Stephen Zimmerman",213,108,1996
"1570","Paul Zipser",203,97,1994
"1571","Ivica Zubac",216,120,1997
