"","match_clock","quarter","quarter_clock","shot_clock","shot_outcome","shooter_X","shooter_Y","defender_lastname","defender_firstname","player_distance","defender_height","shot_dist","def_angle","LeftOrRight","def_reyting","distance","rowNum"
"221",1805.51,2,365.51,10.24,0,15.35994,3.29338,"Robinson","Nate",2.40844861321557,175,23.9455264846693,81.2225638152172,"0",113,0.5417679579804,"75R"
"222",1463.16,2,23.16,21.74,1,33.33672,30.12739,"McLemore","Ben",7.05775400344897,196,28.5509013617872,39.2399191100823,"0",111,0.437489790378794,"76R"
"223",794.56,3,74.56,20.86,0,23.59028,7.89035,"Hollis-Jefferson","Rondae",9.36827093840694,201,25.0819854397713,88.0166618158268,"0",105,0.524982647729466,"77R"
"224",1038.97,3,318.97,17.73,1,76.79474,46.57014,"Walker","Kemba",4.522979871,185,24.66169462,51.4761882,"0",105,0.429552957557352,"78R"
"225",1082.87,3,362.87,22.11,0,89.66917,47.4124,"Mudiay","Emmanuel",5.52487078107714,196,22.4312404304555,33.7036125693034,"0",110,0.222534339775104,"79R"
"226",1317.2,3,597.2,20.92,0,34.01714,29.91869,"Knight","Brandon",5.10430911127059,178,29.1846167543057,55.8162815905414,"0",111,0.489623145164777,"80R"
"227",2836.52,1,676.52,6.16,0,28.25894,15.13782,"Rondo","Rajon",4.49095937569023,185,25.0334558995757,37.9724625060571,"0",107,0.676996220168477,"81R"
"228",1525.79,2,85.79,11.31,1,66.63449,40.2901,"Arthur","Darrell",4.86419436309858,206,26.8864824878618,11.0435102942567,"0",108,0.481214607643787,"82R"
"229",972.07,3,252.07,16.31,0,84.74733,47.48384,"Gay","Rudy",5.93733728724417,203,22.8373472249843,6.00884476329028,"0",108,0.316995888519433,"83R"
"230",951.71,3,231.71,16,0,68.2853,39.9306,"Russell","D'Angelo",5.14897302789595,188,25.3323264318538,62.7516383029239,"0",112,0.395941809191904,"84R"
"231",1570.34,2,130.34,19.25,0,28.08136,16.8973,"Lowry","Kyle",5.11222021721482,183,24.2265298121625,6.95581952021585,"0",104,0.486545370389026,"85R"
"232",752.94,3,32.94,21.51,0,60.94383,37.45107,"Brown","Anthony",5.18646173526809,206,30.4665756890038,6.54389371067059,"0",114,0.309887919540515,"86R"
"233",2611,1,451,18.48,0,70.57632,42.00447,"Neto","Raul",3.71908950416631,185,24.8884439996417,29.0998783469255,"0",106,0.392416770331996,"87R"
"234",1724.25,2,284.25,18.59,0,30.977,13.12983,"Curry","Seth",5.27320554749196,188,28.3333631048081,5.96098823345045,"0",112,0.440999675927473,"88R"
"235",1594.01,2,154.01,18.25,0,64.68526,34.11008,"Hinrich","Kirk",4.10938973154165,193,25.7314062747064,132.000514602132,"0",109,0.41019367323097,"89R"
"236",865.81,3,145.81,14.65,1,22.5645,7.21863,"Lillard","Damian",3.97974594346172,190,24.8187233621494,24.4457265362266,"0",110,0.465266067627898,"90R"
"237",1588.99,2,148.99,4.19,0,66.43794,40.2541,"Gallinari","Danilo",6.19900796928025,208,27.0280518767742,4.60979007278571,"0",111,0.580277394817544,"91R"
"238",188.62,4,188.62,4.74,0,69.37026,43.0982,"Walker","Kemba",3.209693905,185,26.51639428,35.02089762,"0",105,0.666903459607879,"92R"
"239",2386.17,1,226.17,18.67,0,32.02087,28.31392,"Gay","Rudy",8.72165456239239,203,26.9752024334072,51.925791240715,"0",108,0.519579203128363,"93R"
"240",2219.77,1,59.77,19.09,1,78.7195,47.34207,"Shumpert","Iman",6.10803899858211,196,24.4903863206545,1.0534857585953,"0",103,0.397914067275778,"94R"
"241",2399.56,1,239.56,16.13,1,23.78807,8.85783,"Davis","Anthony",7.180691734,208,24.58108402,12.20207025,"0",104,0.514757927631133,"95R"
"242",1475.87,2,35.87,11.26,0,17.56514,2.97463,"Rondo","Rajon",4.35421993794526,185,25.2344922052436,28.1127626140341,"0",107,0.604377594453292,"96R"
"243",763.09,3,43.09,12.35,1,29.57635,13.31979,"Dellavedova","Matthew",6.42952977697436,193,26.9851553630251,18.1066939502776,"0",108,0.594481892385829,"97R"
"244",153.74,4,153.74,11.19,0,28.74851,20.56274,"Crowder","Jae",3.93966487555731,198,23.9137878331246,120.625143963712,"0",102,0.638472195782171,"98R"
"245",287.08,4,287.08,12.42,1,69.81808,44.29067,"Carter-Williams","Michael",4.86267917372717,198,27.0286430280046,29.2462755536287,"0",107,0.50804738504881,"99R"
"246",2625.41,1,465.41,16.07,1,65.15467,45.19771,"Davis","Anthony",7.193275435,208,31.05941221,7.369522321,"0",104,0.574088036785494,"100R"
"247",44.51,4,44.51,9.71,0,70.29658,41.08904,"Walker","Kemba",4.876366741,185,24.48235932,29.50510817,"0",105,0.570691590427764,"101R"
"248",2722.64,1,562.64,24,0,27.40792,11.59147,"Rondo","Rajon",6.55848956240688,185,25.8990751859463,31.8329738769808,"0",107,0.42267289175092,"102R"
"249",2523.5,1,363.5,21.32,0,68.61509,39.19355,"Scola","Luis",8.99350782314665,206,24.6347612594602,77.2335381557354,"0",105,0.40806297847777,"103R"
"250",392.61,4,392.61,9.06,0,18.1929,2.87415,"Ellington","Wayne",6.13272426597675,193,25.6334137139886,4.00907999949232,"0",113,0.560945902407396,"104R"
"251",2207.78,1,47.78,16.68,1,15.60237,3.09514,"Bass","Brandon",5.19873977330083,203,24.2279684710976,12.1992238061586,"0",111,0.394458384346698,"105R"
"252",1163.76,3,443.76,20.44,0,64.60093,36.89642,"Rondo","Rajon",1.74354097540035,185,26.9202970021005,123.479522863701,"0",107,0.403222785316703,"106R"
"253",1053.9,3,333.9,18.53,0,83.11732,47.85145,"Anderson","James",7.1338855067067,198,23.5354169515838,0.858109921618095,"0",111,0.291434884985721,"107R"
"254",2510.34,1,350.34,14.72,0,76.41435,47.2625,"Mirotic","Nikola",8.70101928306104,208,25.4516633478541,19.874337634544,"0",104,0.501485572286813,"108R"
"255",1510.98,2,70.98,15.58,1,30.92191,11.0003,"Gay","Rudy",5.74138923858155,203,29.2410424427396,14.4411407011641,"0",108,0.532726649272888,"109R"
"256",998.62,3,278.62,17.94,0,25.36788,11.06027,"Aminu","Al-Farouq",4.48466261264992,206,24.4753992442881,22.2542718250081,"0",107,0.401440255741822,"110R"
"257",1308.33,3,588.33,17.44,0,23.18074,7.71552,"Clarkson","Jordan",3.10464550404712,196,24.9051136479639,84.8936943256328,"0",114,0.360947054091122,"111R"
