"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"292",7,21500493,2559.59,1,399.59,18.4,201939,"Curry","Stephen",1610612744,41,0,3.64659,2.17165,203798,"Hairston","PJ",1610612766,3.5767,7.04276,4.87161136,190,196,-6,22.88459061,4.839738887,"Right"
"293",8,21500493,2554.93,1,394.93,20.71,201939,"Curry","Stephen",1610612744,43,0,22.34847,5.8262,203798,"Hairston","PJ",1610612766,15.18441,10.6944,8.661589168,190,196,-6,25.69031496,14.07730858,"Right"
"299",33,21500493,1143.34,3,423.34,11.27,201939,"Curry","Stephen",1610612744,269,1,65.4571,34.08484,202689,"Walker","Kemba",1610612766,68.7997,36.90528,4.373540506,190,185,5,25.00187009,61.46429751,"Left"
"300",36,21500493,1038.97,3,318.97,17.73,201939,"Curry","Stephen",1610612744,281,1,76.79474,46.57014,202689,"Walker","Kemba",1610612766,75.06542,42.39081,4.522979871,190,185,5,24.66169462,51.4761882,"Right"
"304",47,21500493,188.62,4,188.62,4.74,201939,"Curry","Stephen",1610612744,421,0,69.37026,43.0982,202689,"Walker","Kemba",1610612766,70.03417,39.95792,3.209693905,190,185,5,26.51639428,35.02089762,"Right"
"305",48,21500493,44.51,4,44.51,9.71,201939,"Curry","Stephen",1610612744,449,0,70.29658,41.08904,202689,"Walker","Kemba",1610612766,71.91717,36.48984,4.876366741,190,185,5,24.48235932,29.50510817,"Right"
"308",3,21500524,2798.68,1,638.68,21.06,201939,"Curry","Stephen",1610612744,12,0,73.33573,44.43748,1626204,"Nance Jr.","Larry",1610612747,77.37775,39.1872,6.625961497,190,206,-16,24.80756635,0.8235417734,"Right"
"313",11,21500524,2403.2,1,243.2,16.08,201939,"Curry","Stephen",1610612744,92,1,84.00233,0.8166,1626204,"Nance Jr.","Larry",1610612747,84.86205,6.57024,5.817515941,190,206,-16,24.64502396,2.608645628,"Left"
"347",5,21500592,2717.73,1,557.73,19,201939,"Curry","Stephen",1610612744,26,0,26.34049,41.19546,101150,"Williams","Lou",1610612747,21.63486,37.92985,5.727753693,190,185,5,26.59138381,2.760933777,"Left"
"353",15,21500592,2405.72,1,245.72,14,201939,"Curry","Stephen",1610612744,73,0,10.74801,2.75576,101150,"Williams","Lou",1610612747,12.07842,9.30852,6.68645305,190,185,5,22.91362754,25.3600835,"Right"
