"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"874",42,21500268,988.15,3,268.15,21.51,202689,"Walker","Kemba",1610612766,324,0,69.46865,41.06009,201939,"Curry","Stephen",1610612744,74.39284,37.10409,6.31645336847349,NA,190,NA,25.0937631420758,1.01433306302681,"Right"
"878",46,21500268,835.98,3,115.98,12.02,201939,"Curry","Stephen",1610612744,358,1,29.19145,30.13337,202689,"Walker","Kemba",1610612766,27.07326,28.83513,2.48438241293485,190,NA,NA,24.4855981274585,19.402402054189,"Left"
"880",48,21500268,755.13,3,35.13,16.09,201939,"Curry","Stephen",1610612744,364,1,30.64096,32.03242,202689,"Walker","Kemba",1610612766,26.16021,27.44822,6.41030500073905,190,NA,NA,26.3468362574712,30.1729402254008,"Left"
"881",49,21500268,725.07,3,5.07,NA,201939,"Curry","Stephen",1610612744,368,1,30.3955,7.76533,202689,"Walker","Kemba",1610612766,27.02472,11.61882,5.11972098736835,190,NA,NA,30.4849146342728,14.3960440562543,"Right"
"889",57,21500268,338.54,4,338.54,5.3,203584,"Daniels","Troy",1610612766,446,0,63.5306,31.60488,201574,"Thompson","Jason",1610612744,69.62658,30.11105,6.27634449574751,193,NA,NA,26.0699554310014,0.906873117962383,"Right"
"944",3,21500300,2620.72,1,460.72,8.85,201939,"Curry","Stephen",1610612744,40,1,81.52026,2.00876,2207,"Johnson","Joe",1610612751,78.00099,10.45417,9.1493284672155,190,NA,NA,24.1011671336722,40.0779659389167,"Left"
"949",8,21500300,1932.04,2,492.04,19.71,2571,"Barbosa","Leandro",1610612744,188,1,89.44292,47.82146,2207,"Johnson","Joe",1610612751,86.75491,34.69352,13.4003062055947,190,NA,NA,22.8319770203546,9.83253116831161,"Right"
"952",11,21500300,1664.68,2,224.68,13.84,203546,"Clark","Ian",1610612744,238,0,90.57387,2.21129,2207,"Johnson","Joe",1610612751,88.16612,8.54666,6.77747542226454,190,NA,NA,22.8615792376861,16.2333831678313,"Left"
"958",17,21500300,1395.19,3,675.19,14.42,2207,"Johnson","Joe",1610612751,293,0,66.35644,11.99738,203110,"Green","Draymond",1610612744,70.82997,18.46703,7.86567490959295,NA,201,NA,25.8947804844528,25.1963286043277,"Left"
"966",25,21500300,1041.73,3,321.73,9.34,2738,"Iguodala","Andre",1610612744,354,0,26.57035,36.70846,2207,"Johnson","Joe",1610612751,18.70588,29.55382,10.631968863315,198,NA,NA,24.3237612160229,13.5199180601501,"Left"
"974",33,21500300,469.29,4,469.29,9.91,2738,"Iguodala","Andre",1610612744,451,0,19.56438,46.44835,2207,"Johnson","Joe",1610612751,17.99982,41.81295,4.89231858668259,198,NA,NA,25.786298542189,15.0678994045127,"Left"
"977",36,21500300,364.49,4,364.49,7.26,201578,"Speights","Marreese",1610612744,467,0,5.14837,48.15585,2207,"Johnson","Joe",1610612751,6.41636,42.09107,6.19591438679554,208,NA,NA,23.1560730237102,11.557507481577,"Left"
"978",37,21500300,281.32,4,281.32,18.55,2207,"Johnson","Joe",1610612751,485,0,67.72778,7.98044,202691,"Thompson","Klay",1610612744,77.87364,8.77975,10.1772968717484,NA,201,NA,27.0480896982024,34.4890171619718,"Left"
"993",10,21500314,2536.51,1,376.51,12.62,101139,"Miles","CJ",1610612754,63,0,28.6669,31.99,202691,"Thompson","Klay",1610612744,25.1607,30.42354,3.8402129331067,NA,201,NA,24.437907144639,7.45310250445949,"Left"
"994",11,21500314,2486.23,1,326.23,20.95,202691,"Thompson","Klay",1610612744,75,1,70.40261,46.07315,101139,"Miles","CJ",1610612754,71.44346,40.93083,5.24660115740657,201,NA,NA,27.9410875009295,29.6019724098225,"Right"
"995",12,21500314,2386.63,1,226.63,16.68,101139,"Miles","CJ",1610612754,93,0,29.93512,37.93819,203110,"Green","Draymond",1610612744,24.97793,34.83028,5.85088346014514,NA,201,NA,27.8702692827052,4.42531133681229,"Left"
"1006",23,21500314,1705.55,2,265.55,19.98,101139,"Miles","CJ",1610612754,215,0,25.25249,4.81569,203110,"Green","Draymond",1610612744,21.64069,8.48025,5.14529875066551,NA,201,NA,28.4166496332027,0.156211832196764,"Right"
"1007",24,21500314,1672.95,2,232.95,20.67,201939,"Curry","Stephen",1610612744,223,0,73.33849,44.66988,101139,"Miles","CJ",1610612754,80.73221,38.54156,9.6033015916819,190,NA,NA,24.9883736904685,12.2672145848538,"Right"
